urlid,dfc-b:offers,dfc-b:offeredTo,dfc-b:hasPrice,dfc-b:stockLimitation
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/bramble-hill-market-garden-lewes-raspberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-raspberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-raspberries-2,50
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/bramble-hill-market-garden-lewes-free-range-eggs-6-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-free-range-eggs-6-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-free-range-eggs-6-3,21
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,60
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/blackdown-hills-orchard-bath-sourdough-loaf-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-sourdough-loaf-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-sourdough-loaf-1,43
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/blackdown-hills-orchard-bath-strawberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-strawberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-strawberries-2,31
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/blackdown-hills-orchard-bath-raw-wildflower-honey-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-raw-wildflower-honey-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-raw-wildflower-honey-3,30
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/blackdown-hills-orchard-bath-kale-curly-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-kale-curly-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-kale-curly-4,53
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cotswold-edge-dairy-stroud-rye-bread-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-rye-bread-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-rye-bread-1,47
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cotswold-edge-dairy-stroud-butter-salted-block-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-butter-salted-block-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-butter-salted-block-2,60
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cotswold-edge-dairy-stroud-whole-milk-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-whole-milk-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-whole-milk-3,50
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cotswold-edge-dairy-stroud-chicken-whole-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-chicken-whole-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-chicken-whole-4,19
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cornish-hedgerow-produce-york-heritage-tomatoes-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-heritage-tomatoes-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-heritage-tomatoes-1,22
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cornish-hedgerow-produce-york-lamb-leg-joint-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-lamb-leg-joint-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-lamb-leg-joint-2,58
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cornish-hedgerow-produce-york-apples-mixed-heritage-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-apples-mixed-heritage-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-apples-mixed-heritage-3,43
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/cornish-hedgerow-produce-york-pork-shoulder-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-pork-shoulder-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-pork-shoulder-4,43
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/tamar-valley-smallholding-frome-basil-pesto-100g-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-basil-pesto-100g-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-basil-pesto-100g-1,100
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/tamar-valley-smallholding-frome-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-mature-cheddar-cow-2,38
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/tamar-valley-smallholding-frome-courgettes-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-courgettes-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-courgettes-3,18
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/tamar-valley-smallholding-frome-jam-strawberry-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-jam-strawberry-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-jam-strawberry-4,31
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/northumbrian-moor-free-range-canterbury-carrots-washed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-carrots-washed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-carrots-washed-1,50
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,48
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,52
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,44
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,100
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/weald-down-organics-hereford-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-pears-conference-1,36
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/weald-down-organics-hereford-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-mature-cheddar-cow-2,24
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/weald-down-organics-hereford-jam-strawberry-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-jam-strawberry-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-jam-strawberry-3,20
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/weald-down-organics-hereford-raw-wildflower-honey-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-raw-wildflower-honey-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-raw-wildflower-honey-4,39
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/moorland-field-farm-totnes-chicken-whole-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/moorland-field-farm-totnes-chicken-whole-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-chicken-whole-1,20
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/moorland-field-farm-totnes-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/moorland-field-farm-totnes-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-spinach-baby-leaf-2,0
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/moorland-field-farm-totnes-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/moorland-field-farm-totnes-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-apple-juice-cloudy-3,48
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/moorland-field-farm-totnes-heritage-tomatoes-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/moorland-field-farm-totnes-heritage-tomatoes-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-heritage-tomatoes-4,14
