urlid,dfc-b:suppliedBy,dfc-b:hasType,dfc-b:name,dfc-b:description,dfc-b:URL
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-free-range-eggs-6-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#egg,Free Range Eggs (6),Free Range Eggs (6) from Bramble Hill Market Garden — 6 eggs.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#potato,Potatoes - Maris Piper,Potatoes - Maris Piper from Bramble Hill Market Garden — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-sourdough-loaf-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#bread,Sourdough Loaf,Sourdough Loaf from Blackdown Hills Orchard — 1 loaf.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-strawberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#strawberry,Strawberries,Strawberries from Blackdown Hills Orchard — 250 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-raw-wildflower-honey-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#honey,Raw Wildflower Honey,Raw Wildflower Honey from Blackdown Hills Orchard — 340 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-kale-curly-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#kale,Kale - Curly,Kale - Curly from Blackdown Hills Orchard — 200 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-rye-bread-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#bread,Rye Bread,Rye Bread from Cotswold Edge Dairy — 1 loaf.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-butter-salted-block-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#butter,Butter - Salted Block,Butter - Salted Block from Cotswold Edge Dairy — 250 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-whole-milk-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#milk,Whole Milk,Whole Milk from Cotswold Edge Dairy — 1 L.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-chicken-whole-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#chicken,Chicken - Whole,Chicken - Whole from Cotswold Edge Dairy — 1.5 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-heritage-tomatoes-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#tomato,Heritage Tomatoes,Heritage Tomatoes from Cornish Hedgerow Produce — 500 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-lamb-leg-joint-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#lamb,Lamb - Leg Joint,Lamb - Leg Joint from Cornish Hedgerow Produce — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-apples-mixed-heritage-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#apples,Apples - Mixed Heritage,Apples - Mixed Heritage from Cornish Hedgerow Produce — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-pork-shoulder-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#pork,Pork - Shoulder,Pork - Shoulder from Cornish Hedgerow Produce — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-basil-pesto-100g-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#processed-vegetable,Basil Pesto - 100g,Basil Pesto - 100g from Tamar Valley Smallholding — 100 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#mature-cheese,Mature Cheddar (Cow),Mature Cheddar (Cow) from Tamar Valley Smallholding — 250 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-courgettes-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#courgette,Courgettes,Courgettes from Tamar Valley Smallholding — 500 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-jam-strawberry-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#jam,Jam - Strawberry,Jam - Strawberry from Tamar Valley Smallholding — 340 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-carrots-washed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#carrot,Carrots - Washed,Carrots - Washed from Northumbrian Moor Free Range — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#spinach,Spinach - Baby Leaf,Spinach - Baby Leaf from Northumbrian Moor Free Range — 150 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#goat-fresh-cheese,Fresh Goats Cheese,Fresh Goats Cheese from Northumbrian Moor Free Range — 150 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#potato,Potatoes - Maris Piper,Potatoes - Maris Piper from Northumbrian Moor Free Range — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#bread,Sourdough Loaf,Sourdough Loaf from Northumbrian Moor Free Range — 1 loaf.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#pear,Pears - Conference,Pears - Conference from Weald & Down Organics — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#mature-cheese,Mature Cheddar (Cow),Mature Cheddar (Cow) from Weald & Down Organics — 250 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-jam-strawberry-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#jam,Jam - Strawberry,Jam - Strawberry from Weald & Down Organics — 340 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-raw-wildflower-honey-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#honey,Raw Wildflower Honey,Raw Wildflower Honey from Weald & Down Organics — 340 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/moorland-field-farm-totnes-chicken-whole-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#chicken,Chicken - Whole,Chicken - Whole from Moorland Field Farm — 1.5 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/moorland-field-farm-totnes-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#spinach,Spinach - Baby Leaf,Spinach - Baby Leaf from Moorland Field Farm — 150 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/moorland-field-farm-totnes-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#fruit-juice,Apple Juice - Cloudy,Apple Juice - Cloudy from Moorland Field Farm — 1 L.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/moorland-field-farm-totnes-heritage-tomatoes-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#tomato,Heritage Tomatoes,Heritage Tomatoes from Moorland Field Farm — 500 g.,
